ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Bacon Clubhouse Burger 9.4 oz (267 g)	720	40	15	1.5	120	1470	52	3	14	38
Bacon Clubhouse Grilled Chicken Sandwich 9.5 oz (270 g)	590	25	8	0	110	1560	51	4	14	40
Bacon Clubhouse Crispy Chicken Sandwich 10 oz (284 g)	750	38	10	0.5	90	1720	65	4	16	36
McChicken ® 5.1 oz (144 g)	370	17	3.5	0	40	650	40	2	5	14
Buffalo Ranch McChicken 5.2 oz (148 g)	370	17	3.5	0	40	850	41	2	5	14
Bacon Buffalo Ranch McChicken 5.7 oz (162 g)	440	21	5	0	55	1120	41	2	6	20
Bacon Cheddar McChicken 6.1 oz (172 g)	490	25	7	0	70	1120	43	2	6	22
Southern Style Crispy Chicken Sandwich 5.6 oz (160 g)	430	19	3	0	45	910	43	2	7	21
Filet-O-Fish 5 oz (142 g)	390	19	4	0	40	590	39	2	5	15
McRib ® 7.3 oz (208 g)	500	26	10	0	70	980	44	3	11	22
Premium McWrap Southwest Chicken (Crispy) 11.7 oz (331 g)	670	32	8	0.5	60	1470	68	5	12	27
Premium McWrap Southwest Chicken (Grilled) 11.2 oz (317 g)	510	19	6	0	80	1300	54	5	10	31
Premium McWrap Chicken & Bacon (Crispy) 11.1 oz (316 g)	630	32	9	0.5	80	1540	56	3	7	32
Premium McWrap Chicken & Bacon (Grilled) 10.7 oz (302 g)	480	19	7	0	95	1370	42	3	6	36
Premium McWrap Chicken & Ranch (Crispy) 10.9 oz (310 g)	610	31	8	0.5	65	1340	56	3	8	27
Premium McWrap Chicken & Ranch (Grilled) 10.5 oz (297 g)	450	18	6	0.5	80	1170	42	3	6	30
Premium McWrap Chicken Sweet Chili (Crispy) 10.7 oz (304 g)	540	23	4.5	0	50	1260	61	3	14	23
Premium McWrap Chicken Sweet Chili (Grilled) 10.3 oz (291 g)	380	10	3	0	65	1090	47	3	12	27
Chipotle BBQ Snack Wrap (Crispy) 4.6 oz (130 g)	340	15	4.5	0	30	780	37	1	8	14
Big Mac 7.4 oz (211 g)	530	27	10	1	85	960	47	3	9	24
Quarter Pounder® with Cheese 7 oz (199 g)	520	26	12	1.5	95	1110	42	3	10	29
Quarter Pounder Bacon Habanero Ranch 8.2 oz (233 g)	610	31	13	1.5	110	1190	47	3	10	36
Quarter Pounder Bacon & Cheese 7.7 oz (217 g)	600	29	13	1	105	1380	48	3	12	36
Quarter Pounder Deluxe 8.4 oz (238 g)	540	27	11	1.5	85	940	45	3	9	28
Double Quarter Pounder with Cheese 9.8 oz (277 g)	740	42	19	2.5	165	1300	43	3	10	47
Hamburger 3.5 oz (98 g)	240	8	3	0	30	480	32	1	6	12
Cheeseburger 4 oz (113 g)	290	11	5	0.5	45	680	33	2	7	15
BBQ Ranch Burger 4 oz (113 g)	340	15	6	0.5	50	670	37	3	7	15
Grilled Onion Cheddar 4 oz (113 g)	300	13	6	0.5	45	640	32	2	6	15
Double Cheeseburger 5.7 oz (161 g)	430	21	10	1	90	1040	35	2	7	24
McDouble 5.2 oz (147 g)	380	17	8	1	75	840	34	2	7	22
Bacon McDouble 5.7 oz (161 g)	440	22	10	1	90	1110	35	2	7	27
Premium Crispy Chicken Classic Sandwich 7.5 oz (213 g)	510	22	3.5	0	45	990	55	3	10	24
