ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO	CATEGORY
Bacon Clubhouse Burger 9.7 oz (274 g)	740	41	16	1.5	125	1480	51	4	14	40	BURGERSANDWICH
Premium Grilled Chicken Bacon Clubhouse Sandwich 10 oz (285 g)	610	26	8	0	125	1750	50	3	14	45	BURGERSANDWICH
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich 10.1 oz (287 g)	790	40	11	0.5	110	1620	67	5	15	40	BURGERSANDWICH
McChicken ® 5.1 oz (144 g)	370	17	3.5	0	40	650	40	2	5	14	BURGERSANDWICH
Buffalo Ranch McChicken 5.2 oz (148 g)	370	17	3.5	0	40	850	41	2	5	14	BURGERSANDWICH
Bacon Buffalo Ranch McChicken 5.7 oz (162 g)	440	21	5	0	55	1120	41	2	6	20	BURGERSANDWICH
Bacon Cheddar McChicken 6.1 oz (172 g)	490	25	7	0	70	1120	43	2	6	22	BURGERSANDWICH
Southern Style Buttermilk Crispy Chicken Sandwich 5.7 oz (162 g)	470	21	4.5	0	65	800	46	2	5	25	BURGERSANDWICH
Filet-O-Fish 5 oz (142 g)	390	19	4	0	40	590	39	2	5	15	BURGERSANDWICH
McRib ® 7.3 oz (208 g)	500	26	10	0	70	980	44	3	11	22	BURGERSANDWICH
Premium McWrap Chicken & Bacon (Buttermilk Crispy) 11.1 oz (314 g)	690	34	10	0.5	100	1450	58	4	6	36	BURGERSANDWICH
Premium McWrap Chicken & Bacon (Grilled) 11 oz (312 g)	500	19	8	0.5	115	1570	41	3	5	41	BURGERSANDWICH
Premium McWrap Chicken & Ranch (Buttermilk Crispy) 10.9 oz (309 g)	660	34	9	0.5	85	1250	59	4	6	31	BURGERSANDWICH
Premium McWrap Chicken & Ranch (Grilled) 10.8 oz (306 g)	470	19	7	0.5	100	1370	41	3	5	35	BURGERSANDWICH
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy) 10.6 oz (301 g)	590	25	5	0	65	1160	64	4	12	27	BURGERSANDWICH
Premium McWrap Chicken Sweet Chili (Grilled) 10.4 oz (294 g)	400	10	3	0	80	1250	46	3	11	31	BURGERSANDWICH
Big Mac 7.5 oz (212 g)	540	28	10	1	80	970	47	3	9	25	BURGERSANDWICH
Quarter Pounder® with Cheese 7.3 oz (206 g)	540	28	13	1.5	100	1110	42	3	10	31	BURGERSANDWICH
Double Quarter Pounder with Cheese 10.3 oz (291 g)	780	45	21	2.5	175	1310	43	3	10	50	BURGERSANDWICH
Hamburger 3.5 oz (99 g)	250	8	3	0	30	490	32	1	6	12	BURGERSANDWICH
Cheeseburger 4 oz (113 g)	300	12	6	0.5	40	680	33	2	7	15	BURGERSANDWICH
BBQ Ranch Burger 4 oz (114 g)	350	15	6	0.5	45	670	37	3	7	15	BURGERSANDWICH
Grilled Onion Cheddar 4 oz (114 g)	310	13	6	0.5	45	640	32	2	6	15	BURGERSANDWICH
Double Cheeseburger 5.7 oz (163 g)	440	22	11	1	85	1050	35	2	7	25	BURGERSANDWICH
McDouble 5.2 oz (148 g)	390	18	8	1	70	850	34	2	7	22	BURGERSANDWICH
Bacon McDouble 5.7 oz (162 g)	460	23	10	1	85	1120	34	2	7	28	BURGERSANDWICH
Daily Double 6.8 oz (191 g)	440	24	9	1	75	770	34	2	7	22	BURGERSANDWICH
Ranch Snack Wrap® (Buttermilk Crispy) 4.6 oz (129 g)	380	21	6	0	45	760	33	2	2	16	BURGERSANDWICH
Ranch Snack Wrap® (Grilled) 4.5 oz (128 g)	290	13	4.5	0	55	820	25	1	2	19	BURGERSANDWICH
Mac Snack Wrap 4.4 oz (125 g)	330	19	7	1	45	670	26	1	3	14	BURGERSANDWICH
Jalapeño Double 5.7 oz (160 g)	440	24	9	1	75	990	35	2	6	23	BURGERSANDWICH
Premium Crispy Chicken Deluxe Sandwich 8 oz (227 g)	530	22	4	0	45	1000	59	3	13	25	BURGERSANDWICH
Quarter Pounder Deluxe 9.2 oz (260 g)	600	33	14	1.5	105	1200	44	3	11	31	BURGERSANDWICH
Artisan Grilled Chicken Sandwich 7.3 oz (207 g)	360	6	1.5	0	75	960	43	3	10	33	BURGERSANDWICH
Premium Buttermilk Crispy Chicken Deluxe Sandwich 8.1 oz (230 g)	580	24	4.5	0	65	900	62	4	11	29	BURGERSANDWICH
Premium Grilled Chicken Bacon Clubhouse Sandwich 10 oz (285 g)	610	26	8	0	125	1750	50	3	14	45	CHICKENFISH
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich 10.1 oz (287 g)	790	40	11	0.5	110	1620	67	5	15	40	CHICKENFISH
McChicken ® 5.1 oz (144 g)	370	17	3.5	0	40	650	40	2	5	14	CHICKENFISH
Buffalo Ranch McChicken 5.2 oz (148 g)	370	17	3.5	0	40	850	41	2	5	14	CHICKENFISH
Bacon Buffalo Ranch McChicken 5.7 oz (162 g)	440	21	5	0	55	1120	41	2	6	20	CHICKENFISH
Bacon Cheddar McChicken 6.1 oz (172 g)	490	25	7	0	70	1120	43	2	6	22	CHICKENFISH
Southern Style Buttermilk Crispy Chicken Sandwich 5.7 oz (162 g)	470	21	4.5	0	65	800	46	2	5	25	CHICKENFISH
Filet-O-Fish 5 oz (142 g)	390	19	4	0	40	590	39	2	5	15	CHICKENFISH
Premium McWrap Chicken & Bacon (Buttermilk Crispy) 11.1 oz (314 g)	690	34	10	0.5	100	1450	58	4	6	36	CHICKENFISH
Premium McWrap Chicken & Bacon (Grilled) 11 oz (312 g)	500	19	8	0.5	115	1570	41	3	5	41	CHICKENFISH
Premium McWrap Chicken & Ranch (Buttermilk Crispy) 10.9 oz (309 g)	660	34	9	0.5	85	1250	59	4	6	31	CHICKENFISH
Premium McWrap Chicken & Ranch (Grilled) 10.8 oz (306 g)	470	19	7	0.5	100	1370	41	3	5	35	CHICKENFISH
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy) 10.6 oz (301 g)	590	25	5	0	65	1160	64	4	12	27	CHICKENFISH
Premium McWrap Chicken Sweet Chili (Grilled) 10.4 oz (294 g)	400	10	3	0	80	1250	46	3	11	31	CHICKENFISH
Chicken McNuggets® (10 piece) 5.7 oz (162 g)	470	30	5	0	65	900	30	2	0	22	CHICKENFISH
Ranch Snack Wrap® (Buttermilk Crispy) 4.6 oz (129 g)	380	21	6	0	45	760	33	2	2	16	CHICKENFISH
Chicken McNuggets® (20 piece) 11.4 oz (323 g)	940	59	10	0	135	1800	59	3	0	44	CHICKENFISH
Chicken McNuggets® (6 piece) 3.4 oz (97 g)	280	18	3	0	40	540	18	1	0	13	CHICKENFISH
Chicken McNuggets® (40 piece) 22.8 oz (646 g)	1880	118	20	1	265	3600	118	6	1	87	CHICKENFISH
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken 9.5 oz (268 g)	490	29	8	0	100	1000	26	4	4	34	CHICKENFISH
Ranch Snack Wrap® (Grilled) 4.5 oz (128 g)	290	13	4.5	0	55	820	25	1	2	19	CHICKENFISH
