ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Triple Cheeseburger	520	28	14	1.5	110	1180	35	2	7	32
Cheddar Bacon Onion Grilled Chicken Sandwich	650	26	10	0.5	155	2130	50	4	14	53
Bacon Clubhouse Burger	740	41	16	1.5	120	1420	51	4	14	40
Premium Grilled Chicken Bacon Clubhouse Sandwich	630	26	8	0	145	1830	50	4	14	48
Double Filet-O-Fish	540	26	6	0	80	780	48	2	5	28
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich	790	40	10	0.5	105	1720	69	5	14	39
Buffalo Ranch McChicken	360	16	3	0	40	800	40	2	5	15
Bacon Buffalo Ranch McChicken	430	21	4.5	0	55	1040	40	2	6	20
Bacon Cheddar McChicken	550	32	9	0	80	950	41	2	6	24
Southern Style Buttermilk Crispy Chicken Sandwich	470	20	4.5	0	65	950	48	3	5	25
Big Mac	540	28	10	1	80	950	45	3	9	25
Quarter Pounder	430	20	8	1	75	700	38	2	9	26
Quarter Pounder with Cheese	530	27	13	1.5	100	1090	41	3	10	31
Quarter Pounder Bacon & Cheese	590	29	13	1.5	105	1330	48	3	12	36
Double Quarter Pounder with Cheese	770	45	21	2.5	175	1290	42	3	10	51
Hamburger	250	8	3	0	30	480	31	1	6	13
Hot 'n Spicy McChicken	420	22	4	0	45	590	39	3	5	14
Cheeseburger	300	12	6	0.5	40	680	33	2	7	15
BBQ Ranch Burger	350	15	6	0.5	45	670	37	3	7	16
Grilled Onion Cheddar	310	13	6	0.5	45	640	32	2	6	15
Double Cheeseburger	440	22	11	1	85	1050	34	2	7	25
McDouble	390	18	8	1	70	850	33	2	7	22
Bacon McDouble	450	23	10	1	85	1090	34	2	7	28
Bacon Cheddar Hot 'n Spicy McChicken	550	32	9	0.5	80	960	41	3	6	24
Daily Double	480	29	10	1	80	750	33	2	7	23
Ranch Snack Wrap (Buttermilk Crispy)	380	20	6	0	45	830	34	2	2	16
Ranch Snack Wrap (Grilled)	300	13	4.5	0	65	890	25	1	2	21
Mac Snack Wrap	340	20	7	1	50	660	26	2	2	15
Jalapeño Double	440	24	9	1	75	980	35	2	6	23
Quarter Pounder Deluxe	640	39	15	1.5	110	1170	41	3	11	31
McTeri Deluxe	610	31	10	1	85	1190	56	3	25	27
Double Homestyle Burger	690	39	16	2.5	150	920	38	3	7	46
Bacon Double Cheeseburger	500	26	12	1	100	1280	36	3	8	30
Denali Big Mac	850	51	20	2.5	170	1090	47	3	9	50
Green Chili Double Cheeseburger	390	18	8	1	70	760	34	2	7	23
Quarter Pounder Cheddar Bacon Onion	770	43	18	2	135	1670	52	4	14	44
Daily Double Burger Mustard Style	380	18	8	1	70	720	33	2	6	23
Double Grilled Onion Cheddar Burger	390	19	9	1	70	760	32	2	6	23
Grilled Onion Cheddar Burger Triple	530	29	14	1.5	115	1080	35	2	6	32
Big Mac with Butter	560	31	12	1	85	950	46	3	9	25
Homestyle Burger	440	21	8	1	75	630	36	3	6	26
Cheeseburger Bacon	360	16	7	0.5	55	920	34	2	7	21
Triple Bacon Cheeseburger	590	32	15	1.5	125	1400	37	3	8	38
Hamburger New York	250	8	3	0	30	470	31	2	6	13
Cheeseburger New York	300	12	5	0.5	40	670	33	2	7	15
Triple Cheeseburger New York	520	28	13	1.5	110	1160	36	2	7	32
Quarter Pounder Deluxe New York	590	32	14	1.5	105	1170	44	4	11	32
Quarter Pounder New York	430	20	8	1	75	700	38	2	9	26
Green Chili Double Cheeseburger New York	390	18	8	1	70	750	34	2	7	23
Double Cheeseburger New York	430	22	11	1	85	1040	35	2	7	25
Cheeseburger Bacon New York	360	16	7	0.5	55	920	34	2	7	20
Bacon Double Cheeseburger New York	500	26	12	1	100	1270	36	2	8	30
Triple Bacon Cheeseburger New York	590	32	15	1.5	125	1400	37	2	8	38
Bacon McDouble New York	450	22	10	1	85	1080	34	2	7	28
Quarter Pounder With Cheese New York	530	27	13	1.5	100	1090	41	3	10	31
Double Quarter Pounder With Cheese New York	770	45	21	2.5	175	1280	42	3	10	51
Signature Sriracha Burger on Artisan Roll	680	35	13	1.5	95	1040	57	3	13	32
Double Lone Star Stack Burger	960	53	24	3	200	2040	60	3	18	61
Lone Star Stack Burger	720	36	16	1.5	125	1850	59	3	18	41
Buffalo Bacon Burger on Artisan Roll	620	33	13	1.5	105	1170	46	3	11	37
Swiss Mushroom Melt Burger on Artisan Roll	620	33	17	1.5	115	570	47	3	11	36
Bacon Quarter Pounder With Cheese	630	34	15	1.5	125	1450	42	3	10	39
Bacon Smokehouse Burger on Artisan Roll	840	45	17	1.5	130	1580	62	2	18	46
Double Bacon Smokehouse Burger on Artisan Roll (Fresh Beef)	1130	600	103	136	220	73	80	21	14	70
Cheddar Bacon Onion Grilled Chicken Sandwich	650	26	10	0.5	155	2130	50	4	14	53
Premium Grilled Chicken Bacon Clubhouse Sandwich	630	26	8	0	145	1830	50	4	14	48
Double Filet-O-Fish	540	26	6	0	80	780	48	2	5	28
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich	790	40	10	0.5	105	1720	69	5	14	39
McChicken	410	22	4	0	45	590	39	2	5	15
Buffalo Ranch McChicken	360	16	3	0	40	800	40	2	5	15
Bacon Buffalo Ranch McChicken	430	21	4.5	0	55	1040	40	2	6	20
Bacon Cheddar McChicken	550	32	9	0	80	950	41	2	6	24
Southern Style Buttermilk Crispy Chicken Sandwich	470	20	4.5	0	65	950	48	3	5	25
Filet-O-Fish	390	19	4	0	45	560	38	2	5	17
Hot 'n Spicy McChicken	420	22	4	0	45	590	39	3	5	14
Bacon Cheddar Hot 'n Spicy McChicken	550	32	9	0.5	80	960	41	3	6	24
Chicken McNuggets (10 piece)	440	27	4.5	0	75	840	26	2	0	24
Ranch Snack Wrap (Buttermilk Crispy)	380	20	6	0	45	830	34	2	2	16
Chicken McNuggets (20 piece)	890	53	9	0	145	1680	53	4	0	49
Chicken McNuggets (6 piece)	270	16	2.5	0	45	510	16	1	0	15
Chicken McNuggets (40 piece)	1770	107	18	0.5	295	3370	105	7	1	98
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken	490	28	8	0	95	1120	28	4	4	33
Ranch Snack Wrap (Grilled)	300	13	4.5	0	65	890	25	1	2	21
Premium Bacon Ranch Salad with Grilled Chicken	320	14	6	0	135	1230	9	3	4	42
Premium Southwest Salad with Buttermilk Crispy Chicken	520	25	6	0	75	960	46	8	9	28
Premium Southwest Salad with Grilled Chicken	350	11	4.5	0	110	1070	27	6	9	37
Chicken McNuggets (4 piece)	180	11	2	0	30	340	11	1	0	10
Artisan Grilled Chicken Sandwich	380	7	2	0	95	1110	44	3	11	37
Buttermilk Crispy Chicken Sandwich	630	29	5	0	70	1030	63	4	11	28
Veggie McWrap	480	19	6	0.5	20	870	63	8	14	15
Chicken McNuggets (50 Piece)	2210	133	22	1	370	4210	132	9	1	122
Lobster Roll	290	5	1.5	0	65	630	35	2	3	24
McChicken Deluxe	510	28	7	0	65	740	44	3	6	20
Old Bay Double Filet-O-Fish Sandwich	540	25	6	0	80	760	49	3	5	29
Old Bay Filet-O-Fish Sandwich	390	18	3.5	0	45	540	40	2	5	17
Jalapeno McChicken	430	20	5	0	55	1030	44	3	6	18
Hot N' Spicy McChicken Deluxe	510	29	8	0	65	750	45	4	6	20
McChicken Scratch Biscuit	450	22	9	0	75	1080	49	3	3	15
McGriddles Buttermilk Crispy Chicken	540	22	6	0	60	1320	61	3	14	24
Southern Style Chicken McGriddles	410	15	4.5	0	30	1160	51	1	16	16
Southern Style Chicken Biscuit Pressure Fried	440	22	8	0	40	1140	46	2	4	15
Buttermilk Crispy Chicken Biscuit	570	28	10	0	60	1380	55	3	2	24
Southern Style Chicken Scratch Biscuit Pressure Fried	460	23	8	0	75	1160	49	2	4	15
Hot N Spicy McChicken Scratch Biscuit	460	23	9	0	75	1090	49	3	3	14
Buttermilk Crispy Tenders 2 pc	250	13	2	0	55	700	13	0	0	20
Buttermilk Crispy Tenders 4 pc	500	27	4	0	110	1390	25	0	1	39
Buttermilk Crispy Tenders 10 pc	1250	67	10	0	270	3480	63	1	2	98
Signature Sriracha Buttermilk Crispy Chicken on Artisan Roll	760	36	9	0.5	85	1430	75	5	13	34
Signature Sriracha Artisan Grilled Chicken on Artisan Roll	590	22	7	0	125	1390	56	3	14	43
Buttermilk Crispy Tenders 6 pc	750	40	6	0	160	2090	38	1	1	59
Buttermilk Crispy Chicken Tenders (20 piece)	2500	135	20	1	540	6950	126	2	3	195
Buttermilk Crispy Chicken Tenders Pressure Fried (4 piece)	480	24	3.5	0	110	1430	22	0	0	42
Buttermilk Crispy Chicken Tenders Pressure Fried (10 piece)	1190	60	9	0	280	3570	56	1	0	105
Buttermilk Crispy Chicken Tenders Pressure Fried (2 piece)	240	12	2	0	55	710	11	0	0	21
Buttermilk Crispy Chicken Tenders Pressure Fried (6 piece)	710	36	5	0	170	2140	34	1	0	63
Buttermilk Crispy Chicken Tenders Pressure Fried (20 piece)	2380	121	18	1	560	7130	112	2	1	210
Buffalo Bacon Artisan Grilled Chicken on Artisan Roll	520	17	5	0	125	1710	45	3	11	45
Swiss Mushroom Melt Buttermilk Crispy Chicken on Artisan Roll	700	32	12	0.5	105	1120	66	5	11	37
